bid_date,constraints ,DA_mvalue,RT_mvalue,location,physical_condition,outage_name,start_date,end_date,wind,load,reserve_zone,today's wind,opportunity
6/19/2026,xfmrpotter_s-potter_s,-23.0,-2123.0,,,,,,,,,,new
6/19/2026,lnsugr_crk-sub_h,0.0,-1765.0,W-E Kansas City,"52 kv, line rating drops, wind and ng driven ",,,,,,4,,6/17/2026
6/19/2026,lnmdwst-frnkln1,-1.0,-1045.0,,,,,,,,,,new
6/20/2026,lnweav-tallgras,-140.0,-6560.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit, high wind and load at 4",,,,high,,4,"""1: ow: 51, fw: 12, ol: 25, fl: 22
2: ow: 96, fw: 40, ol: 66, fl: 53
3: ow: 83, fw: 53, ol: 67, fl: 64
4: ow: 67, fw: 33, ol: 54, fl: 54
5: ow: 30, fw: 0, ol: 25, fl: 24""",6/17/2026
6/20/2026,lngord-maiz,-3035.0,-198.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ",,,,mid,,4,,6/18/2026
6/20/2026,xfmrnowst1-nowst1,-899.0,-3017.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/17/2026
6/20/2026,ln70_bluf-sub1214,-1046.0,-3116.0,Right at Lincoln OPPD,high wind driven,S3455 - S3740 345 kV,10/23,12/18,high,,4,,6/16/2026
6/20/2026,lnosage_og-webbtap4,-1905.0,-524.0,"North Texas, near Tulsa","180kv, high wind driven, Sooner XF 2026-06-19 17:00 end ","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/18/2026
6/20/2026,lnrussett-sbrown,-1794.0,-806.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/19/2026
6/20/2026,lndovrt-turcrk2,-968.0,0.0,South AK,,,,,,,,,6/17/2026
6/20/2026,xfmrduncan-duncan,-1978.0,-1191.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Minco - Norman Hills 345kV Line, flow+9mw (constraint rating 72mw), 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00,,,2,,6/18/2026
6/21/2026,lnsshreve-wallace3,0.0,-5667.0,,,,,,,,,"""1: ow: 37, fw: 72, ol: 19, fl: 46
2: ow: 48, fw: 87, ol: 22, fl: 72
3: ow: 72, fw: 98, ol: 74, fl: 87
4: ow: 75, fw: 90, ol: 59, fl: 69
5: ow: 33, fw: 82, ol: 9, fl: 21""",6/9/2026
6/21/2026,lnosage_og-webbtap4,-4240.0,-480.0,"North Texas, near Tulsa","180kv, high wind driven, Sooner XF 2026-06-19 17:00 end ","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/20/2026
6/21/2026,xfmrduncan-duncan,-4824.0,-1442.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Minco - Norman Hills 345kV Line, flow+9mw (constraint rating 72mw), 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00,,,2,,6/20/2026
6/21/2026,lntahlqh5-hwy59tp,-2586.0,0.0,,,,,,,,,,new
6/21/2026,lndovrt-turcrk2,-2194.0,0.0,South AK,,,,,,,,,6/20/2026
6/21/2026,xfmrwashit1-washit1,-2126.0,0.0,,,,,,,,,,new
6/21/2026,lngord-maiz,-1384.0,0.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ",,,,mid,,4,,6/20/2026
6/21/2026,lncorntp4-naples1,-1328.0,0.0,South OKGE,high wind driven,"Minco - Norman Hills 345kV Line, flow+66mw, 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00+00:00,high,,"3,4",,6/13/2026
6/21/2026,lnommarlo4-rsh_sprg_rev23,-1103.0,0.0,"East Lawton, N-S","106kv, outage driven ","DNCNELDT - MRLOWTAP 138 kV, +16%",2026-06-02 14:00,2026-06-30 16:00,,,,,6/17/2026
6/21/2026,lnnebrcty-sub3456,-154.0,-1209.0,"S-N, Omaha","984kv, low wind, 35% RT low wind, 25% high load",,,,low,high,1,,6/8/2026
6/21/2026,lnstonewsw-tupelo2,-936.0,0.0,"SE OKC, W-E ","169kv, 14% RT high wind, low load","Pittsburg 345 (PSO) - Valliant 345 345 kV, +4%",2026-06-22 8:00,2026-06-26 16:00,high,low,4,,new
6/21/2026,lnrussett-sbrown,-3315.0,-3429.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/20/2026
6/22/2026,xfmrduncan-duncan,-1351.0,-37.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Minco - Norman Hills 345kV Line, flow+9mw (constraint rating 72mw), 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00,,,2,"""1: ow: 3, fw: 11, ol: 21, fl: 38
2: ow: 25, fw: 35, ol: 32, fl: 46
3: ow: 50, fw: 59, ol: 53, fl: 82
4: ow: 21, fw: 41, ol: 37, fl: 62
5: ow: 16, fw: 12, ol: 43, fl: 11""",6/21/2026
6/22/2026,lnrussett-sbrown,-1117.0,-1791.0,South OKGE,"binds high wind, no obvious outage nearby ","Pittsburg 345 (PSO) - Valliant 345 345 kV, +15%",2026-06-22 8:00,2026-06-26 16:00,high,,"3,4",,6/21/2026
6/23/2026,lnrussett-sbrown,-1151.0,-5677.0,South OKGE,"binds high wind, no obvious outage nearby ","Pittsburg 345 (PSO) - Valliant 345 345 kV, +15%",2026-06-22 8:00,2026-06-26 16:00,high,,"3,4","1: ow: 35, fw: 51, ol: 46, fl: 46
2: ow: 45, fw: 33, ol: 58, fl: 72
3: ow: 61, fw: 67, ol: 85, fl: 69
4: ow: 32, fw: 19, ol: 62, fl: 53
5: ow: 45, fw: 32, ol: 51, fl: 37",6/22/2026
6/23/2026,lnmanfl7-clec_pel,0.0,-2730.0,,,,,,,,,,new
6/23/2026,xfmrfremont-fremont,0.0,-1222.0,,,,,,,,,,new
6/24/2026,lnsugr_crk-sub_h,0.0,-3992.0,W-E Kansas City,"52 kv, line rating drops, wind and ng driven ",,,,,,4,"""1: ow: 12, fw: 8, ol: 71, fl: 54
2: ow: 9, fw: 21, ol: 80, fl: 75
3: ow: 33, fw: 91, ol: 96, fl: 93
4: ow: 9, fw: 25, ol: 75, fl: 67
5: ow: 24, fw: 21, ol: 56, fl: 46
21: ow: 35, fw: 12, ol: 69, fl: 74""",6/19/2026
6/25/2026,xfmrnowst1-nowst1,0.0,-1780.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/20/2026
6/25/2026,lnt_brmghm-lbrtyst5,-1410.0,0.0,,,,,,,,,,new
6/25/2026,lnskst-idalia,0.0,-1357.0,,,,,,,,,,new
6/25/2026,lnrussett-sbrown,-2259.0,-1174.0,South OKGE,"binds high wind, no obvious outage nearby ","Pittsburg 345 (PSO) - Valliant 345 345 kV, +15%",2026-06-22 8:00,2026-06-26 16:00,high,,"3,4","""1: ow: 22, fw: 17, ol: 45, fl: 64
2: ow: 32, fw: 25, ol: 58, fl: 91
3: ow: 71, fw: 50, ol: 83, fl: 93
4: ow: 64, fw: 33, ol: 77, fl: 80
5: ow: 0, fw: 0, ol: 50, fl: 29""",6/23/2026
6/25/2026,lnommarlo4-rsh_sprg_rev23,-1038.0,0.0,"East Lawton, N-S","106kv, outage driven ","DNCNELDT - MRLOWTAP 138 kV, +16%",2026-06-02 14:00,2026-06-30 16:00,,,,,6/21/2026
6/25/2026,lnnebrcty-sub3456,-1043.0,-22.0,"S-N, Omaha","984kv, low wind, 35% RT low wind, 25% high load",,,,low,,1,,6/21/2026
6/25/2026,xfmrsub975-sub975,-958.0,0.0,South of Omaha,"low wind and high natural gas generation, high load at 1",,,,low,,1,,6/17/2026
6/25/2026,lnwolffort-sundown2,-1092.0,-544.0,,,,,,,,,,new
6/26/2026,lnpenn_tap-devilsl,-3726.0,0.0,,,,,,,,,,6/15/2026
6/26/2026,xfmrsiouxcy-siouxcy,-1750.0,0.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/17/2026
6/26/2026,lnfirstcrk-roanrdge,-178.0,-1854.0,Near Kansa City,"300 kv, high wind driven",,,,high,,4,,6/17/2026
6/26/2026,xfmrlaw_es-law_es,0.0,-1519.0,Lawton,"high load plus outage, high wind also ","Sunnyside - Terry Road 345 kV, +59",2026-05-07 15:42,2026-06-02 16:00,high,,"3,4",,6/1/2026
6/26/2026,lnipcjeff4-lieberm,0.0,-1493.0,,,,,,,,,,new
6/26/2026,lnrussett-sbrown,-1324.0,-195.0,South OKGE,"binds high wind, no obvious outage nearby ","Pittsburg 345 (PSO) - Valliant 345 345 kV, +15%",2026-06-22 8:00,2026-06-26 16:00,high,,"3,4",,6/25/2026
6/26/2026,lnmanfl7-clec_pel,0.0,-1010.0,,,,,,,,,,6/23/2026
6/26/2026,,,,,,,,,,,,"1: ow: 32, fw: 9, ol: 48, fl: 58
2: ow: 8, fw: 17, ol: 71, fl: 74
3: ow: 48, fw: 64, ol: 87, fl: 90
4: ow: 33, fw: 48, ol: 77, fl: 83
5: ow: 61, fw: 38, ol: 48, fl: 46",
6/27/2026,lnosage_og-webbtap4,-5993.0,0.0,"North Texas, near Tulsa","180kv, high wind driven, Sooner XF 2026-06-19 17:00 end ","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/21/2026
6/27/2026,xfmrduncan-duncan,-4761.0,0.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Minco - Norman Hills 345kV Line, flow+9mw (constraint rating 72mw), 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00,,,2,,6/22/2026
6/27/2026,xfmrnowst1-nowst1,-4660.0,0.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/25/2026
6/27/2026,lnbeaver1-eurk_spa,-4446.0,0.0,,,,,,,,,,6/14/2026
6/27/2026,lnfirstcrk-roanrdge,-3368.0,0.0,Near Kansa City,"300 kv, high wind driven",,,,high,,4,,6/26/2026
6/27/2026,lnmaud_tap-earlsbrh,-3291.0,0.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,,4,,6/18/2026
6/27/2026,lnrussett-sbrown,-3212.0,0.0,South OKGE,"binds high wind, no obvious outage nearby ","Pittsburg 345 (PSO) - Valliant 345 345 kV, +15%",2026-06-22 8:00,2026-06-26 16:00,high,,"3,4",,6/26/2026
6/27/2026,lnweav-tallgras,-3054.0,0.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit, high wind and load at 4",,,,high,,4,,6/20/2026
6/27/2026,xfmrsiouxcy-siouxcy,-2485.0,0.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/26/2026
6/27/2026,lnraun-tekamho,-1627.0,0.0,Sioux City Nebraska,"217 kv, line drops, mid-high wind in 1, load mid-high in 1 ",,,,mid-high,,1,,6/17/2026
6/27/2026,lnjagg-pent,-1333.0,0.0,,,,,,,,,,new
6/27/2026,lnsugr_crk-sub_f_rev23,-1297.0,0.0,Kansas City,"67MW, wind driven, short term ",,,,high,,4,,6/11/2026
6/27/2026,xfmrpotter_s-potter_s,-983.0,0.0,,,,,,,,,,6/19/2026
6/27/2026,,,,,,,,,,,,"1: ow: 93, fw: 79, ol: 74, fl: 46
2: ow: 82, fw: 46, ol: 87, fl: 91
3: ow: 88, fw: 56, ol: 96, fl: 98
4: ow: 93, fw: 67, ol: 83, fl: 88
5: ow: 100, fw: 98, ol: 67, fl: 87",
